Temática,Processo SEI,Publicação mais recente,Colegiado,Membro,Função,Tipo
Governança,04030-00000667/2025-45,"INSTRUÇÃO Nº 31, DE 21 DE MAIO DE 2025",Comissão Permanente de Avaliação - CPA,VIVIANE MARIA XAVIER DE SENA,Membro titular,Comissão
Governança,04030-00000667/2025-45,"INSTRUÇÃO Nº 31, DE 21 DE MAIO DE 2025",Comissão Permanente de Avaliação - CPA,ERIKA MARIANA BISPO NOGUEIRA,Membro titular,Comissão
Governança,04030-00000667/2025-45,"INSTRUÇÃO Nº 31, DE 21 DE MAIO DE 2025",Comissão Permanente de Avaliação - CPA,TERESA CHRISTINE PEREIRA MORAIS,Membro titular,Comissão
Governança,04030-00000667/2025-45,"INSTRUÇÃO Nº 31, DE 21 DE MAIO DE 2025",Comissão Permanente de Avaliação - CPA,WALACE ROZA ABREU,Membro titular,Comissão
Governança,04030-00000667/2025-45,"INSTRUÇÃO Nº 31, DE 21 DE MAIO DE 2025",Comissão Permanente de Avaliação - CPA,ALESSANDRA EDVER,Membro titular,Comissão
Governança,04030-00000667/2025-45,"INSTRUÇÃO Nº 31, DE 21 DE MAIO DE 2025",Comissão Permanente de Avaliação - CPA,JULIANO SPOSITO GALDINO,Membro titular,Comissão
Governança,04030-00002389/2024-80,"INSTRUÇÃO N° 02, DE 09 DE FEVEREIRO 2026",Comissão Especial Eleitoral,FABIANA CLAUDIA DE VASCONCELOS FRANCA,Membro titular,Comissão
Governança,04030-00002389/2024-80,"INSTRUÇÃO N° 02, DE 09 DE FEVEREIRO 2026",Comissão Especial Eleitoral,ROBERTA MOREIRA MATEUS,Membro titular,Comissão
Governança,04030-00002389/2024-80,"INSTRUÇÃO N° 02, DE 09 DE FEVEREIRO 2026",Comissão Especial Eleitoral,GUILHERME BARONI MORALES,Membro titular,Comissão
Governança,04030-00002389/2024-80,"INSTRUÇÃO N° 02, DE 09 DE FEVEREIRO 2026",Comissão Especial Eleitoral,GIOVANI GRASSI,Membro titular,Comissão
Governança,04030-00002389/2024-80,"INSTRUÇÃO N° 02, DE 09 DE FEVEREIRO 2026",Comissão Especial Eleitoral,PEDRO LIMA GONCALVES,Membro titular,Comissão
